series_id,indicator,date,value,unit
UNRATE,Unemployment Rate,2020-01-01,3.6,%
UNRATE,Unemployment Rate,2020-04-01,14.8,%
UNRATE,Unemployment Rate,2021-01-01,6.4,%
UNRATE,Unemployment Rate,2022-01-01,4.0,%
UNRATE,Unemployment Rate,2023-01-01,3.4,%
UNRATE,Unemployment Rate,2024-01-01,3.7,%
UNRATE,Unemployment Rate,2025-01-01,4.0,%
PAYEMS,Total Nonfarm Employment,2020-01-01,152044,thousands of jobs
PAYEMS,Total Nonfarm Employment,2021-01-01,143017,thousands of jobs
PAYEMS,Total Nonfarm Employment,2022-01-01,149744,thousands of jobs
PAYEMS,Total Nonfarm Employment,2023-01-01,154353,thousands of jobs
PAYEMS,Total Nonfarm Employment,2024-01-01,157304,thousands of jobs
PAYEMS,Total Nonfarm Employment,2025-01-01,159000,thousands of jobs
CES6562000001,Healthcare Employment,2020-01-01,16300,thousands of jobs
CES6562000001,Healthcare Employment,2021-01-01,15850,thousands of jobs
CES6562000001,Healthcare Employment,2022-01-01,16250,thousands of jobs
CES6562000001,Healthcare Employment,2023-01-01,16800,thousands of jobs
CES6562000001,Healthcare Employment,2024-01-01,17400,thousands of jobs
CES6562000001,Healthcare Employment,2025-01-01,17900,thousands of jobs
CIVPART,Labor Force Participation Rate,2020-01-01,63.4,%
CIVPART,Labor Force Participation Rate,2021-01-01,61.4,%
CIVPART,Labor Force Participation Rate,2022-01-01,62.2,%
CIVPART,Labor Force Participation Rate,2023-01-01,62.4,%
CIVPART,Labor Force Participation Rate,2024-01-01,62.5,%
CIVPART,Labor Force Participation Rate,2025-01-01,62.6,%
CES0500000003,Average Hourly Earnings,2020-01-01,28.44,dollars
CES0500000003,Average Hourly Earnings,2021-01-01,29.92,dollars
CES0500000003,Average Hourly Earnings,2022-01-01,31.63,dollars
CES0500000003,Average Hourly Earnings,2023-01-01,33.03,dollars
CES0500000003,Average Hourly Earnings,2024-01-01,34.45,dollars
CES0500000003,Average Hourly Earnings,2025-01-01,35.80,dollars
CES0500000002,Average Weekly Hours,2020-01-01,34.3,hours
CES0500000002,Average Weekly Hours,2021-01-01,34.6,hours
CES0500000002,Average Weekly Hours,2022-01-01,34.6,hours
CES0500000002,Average Weekly Hours,2023-01-01,34.4,hours
CES0500000002,Average Weekly Hours,2024-01-01,34.3,hours
CES0500000002,Average Weekly Hours,2025-01-01,34.2,hours
