date,year,month,series_id,indicator,value,latest,month_to_month_change
2020-01-01,2020,1,CES0500000003,Average Hourly Earnings,28.43,False,
2020-02-01,2020,2,CES0500000003,Average Hourly Earnings,28.54,False,0.10999999999999943
2020-03-01,2020,3,CES0500000003,Average Hourly Earnings,28.73,False,0.19000000000000128
2020-04-01,2020,4,CES0500000003,Average Hourly Earnings,30.04,False,1.3099999999999987
2020-05-01,2020,5,CES0500000003,Average Hourly Earnings,29.72,False,-0.3200000000000003
2020-06-01,2020,6,CES0500000003,Average Hourly Earnings,29.38,False,-0.33999999999999986
2020-07-01,2020,7,CES0500000003,Average Hourly Earnings,29.39,False,0.010000000000001563
2020-08-01,2020,8,CES0500000003,Average Hourly Earnings,29.49,False,0.09999999999999787
2020-09-01,2020,9,CES0500000003,Average Hourly Earnings,29.51,False,0.020000000000003126
2020-10-01,2020,10,CES0500000003,Average Hourly Earnings,29.54,False,0.029999999999997584
2020-11-01,2020,11,CES0500000003,Average Hourly Earnings,29.64,False,0.10000000000000142
2020-12-01,2020,12,CES0500000003,Average Hourly Earnings,29.91,False,0.2699999999999996
2021-01-01,2021,1,CES0500000003,Average Hourly Earnings,29.93,False,0.019999999999999574
2021-02-01,2021,2,CES0500000003,Average Hourly Earnings,30.05,False,0.120000000000001
2021-03-01,2021,3,CES0500000003,Average Hourly Earnings,30.03,False,-0.019999999999999574
2021-04-01,2021,4,CES0500000003,Average Hourly Earnings,30.22,False,0.18999999999999773
2021-05-01,2021,5,CES0500000003,Average Hourly Earnings,30.41,False,0.19000000000000128
2021-06-01,2021,6,CES0500000003,Average Hourly Earnings,30.54,False,0.129999999999999
2021-07-01,2021,7,CES0500000003,Average Hourly Earnings,30.66,False,0.120000000000001
2021-08-01,2021,8,CES0500000003,Average Hourly Earnings,30.78,False,0.120000000000001
2021-09-01,2021,9,CES0500000003,Average Hourly Earnings,30.98,False,0.1999999999999993
2021-10-01,2021,10,CES0500000003,Average Hourly Earnings,31.14,False,0.16000000000000014
2021-11-01,2021,11,CES0500000003,Average Hourly Earnings,31.23,False,0.08999999999999986
2021-12-01,2021,12,CES0500000003,Average Hourly Earnings,31.39,False,0.16000000000000014
2022-01-01,2022,1,CES0500000003,Average Hourly Earnings,31.6,False,0.21000000000000085
2022-02-01,2022,2,CES0500000003,Average Hourly Earnings,31.64,False,0.03999999999999915
2022-03-01,2022,3,CES0500000003,Average Hourly Earnings,31.8,False,0.16000000000000014
2022-04-01,2022,4,CES0500000003,Average Hourly Earnings,31.96,False,0.16000000000000014
2022-05-01,2022,5,CES0500000003,Average Hourly Earnings,32.1,False,0.14000000000000057
2022-06-01,2022,6,CES0500000003,Average Hourly Earnings,32.19,False,0.0899999999999963
2022-07-01,2022,7,CES0500000003,Average Hourly Earnings,32.34,False,0.15000000000000568
2022-08-01,2022,8,CES0500000003,Average Hourly Earnings,32.44,False,0.09999999999999432
2022-09-01,2022,9,CES0500000003,Average Hourly Earnings,32.57,False,0.13000000000000256
2022-10-01,2022,10,CES0500000003,Average Hourly Earnings,32.7,False,0.13000000000000256
2022-11-01,2022,11,CES0500000003,Average Hourly Earnings,32.82,False,0.11999999999999744
2022-12-01,2022,12,CES0500000003,Average Hourly Earnings,32.94,False,0.11999999999999744
2023-01-01,2023,1,CES0500000003,Average Hourly Earnings,33.02,False,0.0800000000000054
2023-02-01,2023,2,CES0500000003,Average Hourly Earnings,33.15,False,0.12999999999999545
2023-03-01,2023,3,CES0500000003,Average Hourly Earnings,33.27,False,0.12000000000000455
2023-04-01,2023,4,CES0500000003,Average Hourly Earnings,33.43,False,0.1599999999999966
2023-05-01,2023,5,CES0500000003,Average Hourly Earnings,33.5,False,0.07000000000000028
2023-06-01,2023,6,CES0500000003,Average Hourly Earnings,33.69,False,0.18999999999999773
2023-07-01,2023,7,CES0500000003,Average Hourly Earnings,33.85,False,0.1600000000000037
2023-08-01,2023,8,CES0500000003,Average Hourly Earnings,33.89,False,0.03999999999999915
2023-09-01,2023,9,CES0500000003,Average Hourly Earnings,34.01,False,0.11999999999999744
2023-10-01,2023,10,CES0500000003,Average Hourly Earnings,34.08,False,0.07000000000000028
2023-11-01,2023,11,CES0500000003,Average Hourly Earnings,34.17,False,0.09000000000000341
2023-12-01,2023,12,CES0500000003,Average Hourly Earnings,34.29,False,0.11999999999999744
2024-01-01,2024,1,CES0500000003,Average Hourly Earnings,34.47,False,0.17999999999999972
2024-02-01,2024,2,CES0500000003,Average Hourly Earnings,34.52,False,0.05000000000000426
2024-03-01,2024,3,CES0500000003,Average Hourly Earnings,34.65,False,0.12999999999999545
2024-04-01,2024,4,CES0500000003,Average Hourly Earnings,34.76,False,0.10999999999999943
2024-05-01,2024,5,CES0500000003,Average Hourly Earnings,34.89,False,0.13000000000000256
2024-06-01,2024,6,CES0500000003,Average Hourly Earnings,35.01,False,0.11999999999999744
2024-07-01,2024,7,CES0500000003,Average Hourly Earnings,35.08,False,0.07000000000000028
2024-08-01,2024,8,CES0500000003,Average Hourly Earnings,35.22,False,0.14000000000000057
2024-09-01,2024,9,CES0500000003,Average Hourly Earnings,35.34,False,0.12000000000000455
2024-10-01,2024,10,CES0500000003,Average Hourly Earnings,35.46,False,0.11999999999999744
2024-11-01,2024,11,CES0500000003,Average Hourly Earnings,35.6,False,0.14000000000000057
2024-12-01,2024,12,CES0500000003,Average Hourly Earnings,35.69,False,0.0899999999999963
2025-01-01,2025,1,CES0500000003,Average Hourly Earnings,35.84,False,0.15000000000000568
2025-02-01,2025,2,CES0500000003,Average Hourly Earnings,35.94,False,0.09999999999999432
2025-03-01,2025,3,CES0500000003,Average Hourly Earnings,36.11,False,0.1700000000000017
2025-04-01,2025,4,CES0500000003,Average Hourly Earnings,36.12,False,0.00999999999999801
2025-05-01,2025,5,CES0500000003,Average Hourly Earnings,36.28,False,0.1600000000000037
2025-06-01,2025,6,CES0500000003,Average Hourly Earnings,36.36,False,0.0799999999999983
2025-07-01,2025,7,CES0500000003,Average Hourly Earnings,36.47,False,0.10999999999999943
2025-08-01,2025,8,CES0500000003,Average Hourly Earnings,36.62,False,0.14999999999999858
2025-09-01,2025,9,CES0500000003,Average Hourly Earnings,36.7,False,0.0800000000000054
2025-10-01,2025,10,CES0500000003,Average Hourly Earnings,36.85,False,0.14999999999999858
2025-11-01,2025,11,CES0500000003,Average Hourly Earnings,37.0,False,0.14999999999999858
2025-12-01,2025,12,CES0500000003,Average Hourly Earnings,37.02,False,0.020000000000003126
